"Reference","Quantity","Value","Digi-Key Part #"
"C1, C5, C6, C7, C8, C9, C10, C26, C29, C30, C31, C32, C33, C34, C35, C36, C39, C40, C41, C42, C43, C44, C45, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, ","39","100nF","478-10836-1-ND"
"C2, C46, C47, C48, C49, C50, C51, C52, C53, ","9","10uF","478-10836-1-ND"
"C3, C4, ","2","100uF","399-EDH107M016A9GAACT-ND"
"C11, C13, C14, C20, C22, C27, C28, ","7","1nF","BC2662CT-ND"
"C12, ","1","22uF","478-12960-1-ND"
"C15, C21, ","2","4.7nF","BC2662CT-ND"
"C16, ","1","10nF","BC2662CT-ND"
"C17, C18, C19, C23, C24, C25, C37, C38, ","8","150nF","478-10836-1-ND"
"D1, D2, D3, D4, ","4","1N5819","478-7800-1-ND"
"D5, ","1","1N4148","1N4148VSCT-ND"
"J1, J4, J5, J6, J7, J8, J9, J10, J11, J12, ","10","3.5mm Jack","WM17366-ND"
"J2, ","1","2x5 Header","S2011EC-05-ND"
"J3, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, ","1","CV Knob","1722-1241-ND"
"N1, N2, N3, N4, ","4","Nut","36-4687-ND"
"R1, R8, ","2","68K","CF14JT10K0CT-ND"
"R2, R4, R6, R18, R44, R46, R48, R53, R55, R57, R62, R64, R68, ","13","10K","CRT0805-FZ-1002ELFCT-ND"
"R3, R5, R24, R26, R28, R33, R35, R37, R41, R43, ","10","100K","CF14JT10K0CT-ND"
"R7, ","1","220K","CF14JT10K0CT-ND"
"R9, R10, R11, R12, R13, R14, R15, R16, R17, ","9","1K","CRT0805-FZ-1002ELFCT-ND"
"R19, ","1","470","PPC470W-1CT-ND"
"R20, R21, R22, R29, R30, R31, R38, R39, R50, R51, R52, R59, R60, R61, R66, R67, ","16","43K","CRT0805-FZ-1002ELFCT-ND"
"R23, R25, R27, R32, R34, R36, R40, R42, ","8","1M","CF14JT10K0CT-ND"
"R45, R47, R49, R54, R56, R58, R63, R65, ","8","33K","CRT0805-FZ-1002ELFCT-ND"
"R69, ","1","1870","CF14JT68K0CT-ND"
"R70, ","1","620","CF14JT68K0CT-ND"
"RV1, ","1","1K","PTV09A-4225F-B102-ND"
"RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, ","8","20K","490-2881-ND"
"SC1, SC3, SC5, SC7, ","4","Nylon Screw","36-29331-ND"
"SC2, SC4, SC6, SC8, ","4","Mounting Screw","335-1156-ND"
"SO1, SO2, SO3, SO4, ","4","Standoff 12mm","732-13063-ND"
"TP1, TP2, ","2","TestPoint","36-5006-ND"
"U1, U2, U23, U24, U25, U29, U30, U31, U34, U35, ","10","TL072CP","296-1775-5-ND"
"U7, U8, U13, U14, U15, U18, U19, ","7","4017","296-12808-1-ND"
"U20, U21, U22, U26, U27, U28, U32, U33, ","8","VTL5C","NSL-32SR3-ND"
