Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-81.000000,-83.730000,180.000000,bottom
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-87.980000,-85.920000,0.000000,bottom
"C3","100uF","CP_Elec_6.3x5.4_Nichicon",-94.520000,-88.430000,0.000000,bottom
"C4","100uF","CP_Elec_6.3x5.4_Nichicon",-87.900000,-76.510000,0.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.150000,-58.800000,180.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-85.742500,-49.110000,180.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-90.060000,-57.790000,90.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-84.310000,-110.490000,180.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.880000,-115.120000,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-84.080000,-89.460000,0.000000,bottom
"C11","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-92.110000,-57.780000,-90.000000,bottom
"C12","2.2uF","CP_EIA-3216-18_Kemet-A",-84.400000,-91.620000,0.000000,bottom
"C13","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.010000,-112.140000,-90.000000,bottom
"C14","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.500000,-120.000000,0.000000,bottom
"C15","4.7nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.400000,-81.400000,0.000000,bottom
"C16","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-67.540000,-56.460000,0.000000,bottom
"C17","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.350000,-118.750000,180.000000,bottom
"C18","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.500000,-80.750000,0.000000,bottom
"C19","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.450000,-56.720000,0.000000,bottom
"C20","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.600000,-93.900000,0.000000,bottom
"C21","4.7nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.480000,-68.860000,0.000000,bottom
"C22","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.200000,-132.400000,0.000000,bottom
"C23","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.350000,-92.800000,180.000000,bottom
"C24","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.430000,-68.790000,0.000000,bottom
"C25","150nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.350000,-130.900000,180.000000,bottom
"C26","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.620000,-48.230000,180.000000,bottom
