Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-81.000000,-83.730000,180.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-91.100000,-88.800000,0.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.000000,-49.500000,0.000000,bottom
"C4","22uF","CP_EIA-3216-18_Kemet-A",-62.920476,-56.830000,0.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.150000,-58.800000,180.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-85.742500,-49.110000,180.000000,bottom
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-90.060000,-57.790000,90.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-84.310000,-110.490000,180.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.880000,-115.120000,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-91.100000,-90.900000,0.000000,bottom
"C11","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-92.110000,-57.780000,-90.000000,bottom
"C12","22uF","CP_EIA-3216-18_Kemet-A",-91.600000,-93.600000,0.000000,bottom
"C13","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.010000,-112.140000,-90.000000,bottom
"C14","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-70.500000,-120.000000,0.000000,bottom
"C15","4.7nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-71.800000,-81.400000,0.000000,bottom
"C17","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-63.700000,-116.400000,180.000000,bottom
"C18","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-67.900000,-84.000000,-90.000000,bottom
"C20","2.2nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-72.000000,-93.900000,0.000000,bottom
