Ref,Val,Package,PosX,PosY,Rot,Side
"GR2","bamboo","face_logo",75.450000,-86.000000,0.000000,top
"J1","3.5mm Jack","Molex-0472570001",91.650000,-64.850000,0.000000,top
"J4","3.5mm Jack","Molex-0472570001",91.650000,-126.850000,0.000000,top
"J5","3.5mm Jack","Molex-0472570001",45.000000,-113.110000,-90.000000,top
"J6","3.5mm Jack","Molex-0472570001",45.000000,-74.110000,-90.000000,top
"J7","3.5mm Jack","Molex-0472570001",45.000000,-48.110000,-90.000000,top
"J8","3.5mm Jack","Molex-0472570001",45.000000,-126.110000,-90.000000,top
"J9","3.5mm Jack","Molex-0472570001",45.000000,-87.110000,-90.000000,top
"J10","3.5mm Jack","Molex-0472570001",45.000000,-61.110000,-90.000000,top
"J11","3.5mm Jack","Molex-0472570001",45.000000,-139.110000,-90.000000,top
"J12","3.5mm Jack","Molex-0472570001",45.000000,-100.110000,-90.000000,top
"J13","3.5mm Jack","Molex-0472570001",106.000000,-114.850000,90.000000,top
"J14","3.5mm Jack","Molex-0472570001",106.000000,-75.850000,90.000000,top
"J15","3.5mm Jack","Molex-0472570001",106.000000,-49.850000,90.000000,top
"J16","3.5mm Jack","Molex-0472570001",106.000000,-127.850000,90.000000,top
"J17","3.5mm Jack","Molex-0472570001",106.000000,-62.850000,90.000000,top
"J18","3.5mm Jack","Molex-0472570001",106.000000,-88.850000,90.000000,top
"J19","3.5mm Jack","Molex-0472570001",106.000000,-140.850000,90.000000,top
"J20","3.5mm Jack","Molex-0472570001",106.000000,-101.850000,90.000000,top
"RV1","1K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",92.520000,-108.030000,90.000000,top
