"Reference","Quantity","Value","Digi-Key Part #"
"C1, C14, C15, C20, C21, C22, C27, C28, ","8","300p","BC2662CT-ND"
"C2, C17, C18, C23, C24, C25, C37, C38, C46, C47, C48, C49, C50, C51, C52, C53, ","16","10uF","478-10836-1-ND"
"C4, C29, ","2","100uF","399-EDH107M016A9GAACT-ND"
"C5, C6, C7, C8, C9, C10, C11, C12, C13, C16, C19, C26, C30, C31, C32, C33, C34, C35, C36, C39, C40, C41, C42, C43, C44, C45, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, ","42","100nF","478-10836-1-ND"
"D1, D2, ","2","1N5819","478-7800-1-ND"
"J1, ","1","2x8 Header","732-5385-1-ND"
"J4, ","1","2x5 Header","732-5382-1-ND"
"R1, R3, R10, R11, R12, R13, R14, R15, R16, R17, R20, R21, R29, R30, R31, R38, R39, R44, R46, R48, R53, R55, R57, R62, R64, R139, R140, ","27","10K","CRT0805-FZ-1002ELFCT-ND"
"R4, R23, R25, R32, R34, R36, R40, R42, ","8","27K","CF14JT10K0CT-ND"
"R5, R24, R26, R33, R35, R37, R41, R43, ","8","1.5K","CF14JT10K0CT-ND"
"R6, R18, R69, R71, R74, R76, R79, R83, R89, R91, R94, R96, R99, R103, R109, R111, R114, R116, R119, R123, R129, R131, R134, R136, ","24","200K","CF14JT10K0CT-ND"
"R7, R19, R68, R73, R80, R84, R88, R93, R100, R104, R108, R113, R120, R124, R128, R133, ","16","150K","CF14JT10K0CT-ND"
"R8, R22, R28, R72, R81, R85, R87, R92, R101, R105, R107, R112, R121, R125, R127, R132, ","16","165K","CF14JT10K0CT-ND"
"R9, R27, R82, R86, R102, R106, R122, R126, R143, R144, R147, R148, R151, R152, R155, R156, ","16","249K","CF14JT10K0CT-ND"
"R45, R47, R49, R54, R56, R58, R63, R65, ","8","33K","CRT0805-FZ-1002ELFCT-ND"
"R50, R51, R52, R59, R60, R61, R66, R67, ","8","24.9K","CRT0805-FZ-1002ELFCT-ND"
"R70, R75, R90, R95, R110, R115, R130, R135, R141, R142, R145, R146, R149, R150, R153, R154, ","16","300K","CF14JT10K0CT-ND"
"R77, R78, R97, R98, R117, R118, R137, R138, ","8","332K","CF14JT10K0CT-ND"
"RV1, RV10, RV11, RV13, RV14, RV15, RV16, RV17, ","8","50K","490-2881-ND"
"RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, ","8","20K","490-2881-ND"
"TP1, TP2, ","2","TestPoint","36-5006-ND"
"U2, U6, U9, U23, U24, U25, U29, U30, U31, U34, U35, U38, U39, ","13","TL072CP","296-1775-5-ND"
"U3, U7, U8, U13, U14, U15, U18, U19, ","8","CD4017","296-12808-1-ND"
