Ref,Val,Package,PosX,PosY,Rot,Side
"J1","2x8 Header","PinHeader_2x08_P2.54mm_Vertical_SMD",55.200000,-70.000000,0.000000,top
"J4","2x5 Header","PinHeader_2x05_P2.54mm_Vertical_SMD",55.200000,-100.000000,180.000000,top
"U20","GLV5549","PerkinElmer_VTL5C",65.170000,-112.600000,0.000000,top
"U21","GLV5549","PerkinElmer_VTL5C",65.170000,-74.600000,0.000000,top
"U22","GLV5549","PerkinElmer_VTL5C",65.170000,-50.600000,0.000000,top
"U26","GLV5549","PerkinElmer_VTL5C",65.170000,-124.600000,0.000000,top
"U27","GLV5549","PerkinElmer_VTL5C",65.170000,-86.600000,0.000000,top
"U28","GLV5549","PerkinElmer_VTL5C",65.170000,-62.600000,0.000000,top
"U32","GLV5549","PerkinElmer_VTL5C",65.170000,-136.600000,0.000000,top
"U33","GLV5549","PerkinElmer_VTL5C",65.170000,-100.600000,0.000000,top
